id;titre;annee;genre;auteur;lieu;note
3640;like me saison 2;;;1014;3640;-1.0
8094;balthazar 7,8;;;0;8094;-1.0
5816;engrenages saison 7;;;0;5816;-1.0
2303;le francais;2008;14;1408;2303;-1.0
3630;one woman;2020;14;1173;3630;-1.0
5810;les dents, pipi, au lit.;;;145;5810;-1.0
1471;missions 2;2007;24;471;1471;-1.0
2310;kompromat;2019;14;231;2310;-1.0
4976;clem saison 11;;;0;4976;-1.0
5825;profilage ep.93/94;;;1082;5825;-1.0
5834;le doudou;2011;19;292;5834;-1.0
3659;2fils (inversion decors int librairie / parc);;;15;3659;-1.0
1011;2fils (3eme partie);;;0;1011;-1.0
1002;les temps des egares;;;540;1002;-1.0
4510;profilage/n°72;;;0;4510;-1.0
5842;addict;2020;15;823;5842;8.7
5861;claire andrieux;2020;7;602;5861;6.7
3200;balthazar;2018;11;820;3200;7.6
6708;tous les dieux du ciel;;;1294;6708;-1.0
4529;under the eiffel tower;2018;7;1861;4529;5.3
6707;alice nevers episodes 92, 93 saison 14;;;0;6707;-1.0
5852;balthazar 3,4 et 5;;;0;5852;-1.0
3676;la petite bande;;;0;3676;-1.0
6720;les fantomes d'ismael;;;632;6720;-1.0
5873;j'irai ou tu iras;2019;7;358;5873;5.3
3685;deux gouttes d'eau;2018;11;1009;3685;5.9
6711;skam saison 3 et 4 semaine 7 sur 8;;;0;6711;-1.0
4532;knock;2017;7;620;4532;6.1
4533;fugueuse - semaine 3 sur 12;;;0;4533;-1.0
8909;astrid et raphaelle;2019;11;670;8909;7.8
8907;serie baron noir saison 3;;;189;8907;-1.0
8908;alice nevers e114-115 (partie 1/3);;;0;8908;-1.0
8901;dark stories;2019;12;11;8901;5.9
4543;cigare au miel;;;708;4543;-1.0
8902;hors normes;2005;15;375;8902;7.1
5875;inside/out;1997;1;1888;5875;6.9
8900;plan coeur s2;;;0;8900;-1.0
6723;cukur - episode 1 : gokhan horzum;;;1764;6723;-1.0
8905;seize printemps;;;365;8905;-1.0
8903;catharsis;2001;15;509;8903;5.9
6728;tamara demande n°2;;;0;6728;-1.0
4549;un couteau dans le coeur;;;1760;4549;-1.0
8918;family business s1;;;0;8918;-1.0
8919;le meilleur reste a venir;;;47;8919;-1.0
1047;alice in paris - saison 02 - episode 14 - rencard;;;1847;1047;-1.0
8912;la troisieme guerre;;;1839;8912;-1.0
5885;un dragon en forme de nuage;;;507;5885;-1.0
8913;tanguy 2;;;42;8913;-1.0
5402;diana, 20 ans apres;;;1329;5402;-1.0
8910;clem saison 10;;;1856;8910;-1.0
8911;vampires;1998;10;1730;8911;6.2
8916;forte;2009;15;1202;8916;-1.0
8917;biggie la faim de vivre;;;221;8917;-1.0
8914;osmosis;2019;6;0;8914;5.9
5420;simone;2013;8;1125;5420;6.0
7600;e-book;2011;15;289;7600;-1.0
6753;from moscow to royan 3.0;;;117;6753;-1.0
2397;skam saison 5 et 6 semaine 10 sur 10;;;0;2397;-1.0
5414;chroniques parisiennes 5;;;0;5414;-1.0
5899;une famille formidable - saison 14 - du 4 au 13 septembre 2017;;;1285;5899;-1.0
6748;nexity - a chacun sa ville - ( partie 2);;;1491;6748;-1.0
6760;valide saison 2;;;1750;6760;-1.0
4584;serge le mytho;2017;7;822;4584;7.7
7611;veep;2019;7;142;7611;8.3
7610;que le diable nous emporte;;;98;7610;-1.0
3255;profilage episodes 97/98;;;0;3255;-1.0
2399;profilage episodes 96/97;;;0;2399;-1.0
7602;super heros malgre lui;2021;7;0;7602;-1.0
6759;je te promets;2021;;0;6759;5.1
6758;tout ce qu'il me reste de la revolution;;;977;6758;-1.0
6771;l'organisation;2017;;201;6771;-1.0
5442;deux fils;;;0;5442;-1.0
4595;paris police 1900;2021;11;648;4595;7.0
5443;chroniques parisiennes 23;;;794;5443;-1.0
