id;adresse;ville;codePostal
4970;9a ruea fortuny;;75017
3640;11 rue meynadier, 75019 paris;;75019
4971;15a ruea saint blaise/cafe lumiere;;75020
2306;rue bezout, 75014 paris;;75014
3638;10 rue de marseille, 75010 paris;;75010
4969;100 avenue de saint-mande, 75012 paris;;75012
2305;placea de la concorde;;75008
3639;quai des orfevres, 75001 paris;;75001
2304;36 rue guynemer, 75006 paris;;75006
2303;port de la tournelle, 75005 paris;;75005
2302;ruea du general foy;;75008
2301;ruea de la grenade;;75019
2300;8 rue de lanneau, 75005 paris;;75005
3630;16 rue du faubourg du temple, 75011 paris;;75011
4961;71 rue de la verrerie, 75004 paris;;75004
3631;1a parvisa notre dame;;75004
4962;173a ruea du faubourg poissonniere;;75010
3632;3 rue de castiglione, 75001 paris;;75001
4963;placea igor stravinsky;;75004
3633;49 avenue de wagram, 75017 paris;;75017
4964;marche*a belgrand;;75020
3634;48 avenue du docteur arnold netter, 75012 paris;;75012
4965;avenue courteline, 75012 paris;;75012
2309;14 rue jean mace, 75011 paris;;75011
3635;8 rue du sentier, 75002 paris;;75002
4966;ruea portalis;;75008
2308;9a ruea manuel;;75009
3636;2a placea des pyramides/hotel regina;;75001
4967;ruea le brun/avenue des gobelins;;75013
2307;place de l'opera, 75009 paris;;75009
3637;22 rue louise weiss, 75013 paris;;75013
4968;ruea claude terrasse;;75016
4980;2 rue du calvaire, 75018 paris;;75018
3650;11 rue alexandre dumas, 75011 paris;;75011
4981;ruea victor masse;;75009
3651;ruea croix des petits champs;;75001
4982;15a ruea saint sabin;;75011
2320;quai des orfevres, 75001 paris;;75001
2317;rue du pre aux clercs, 75007 paris;;75007
3649;rue de la montagne sainte-genevieve, 75005 paris;;75005
1;rue payenne, 75003 paris;;75003
2316;1 avenue franklin d. roosevelt, 75008 paris;;75008
2;rue bichat, 75010 paris;;75010
2315;8 rue pierre dupont, 75010 paris;;75010
3;7 rue du jourdain, 75020 paris;;75020
2314;ile de reuilly, 75012 paris;;75012
4;rue adolphe yvon, 75116 paris;;75116
2313;68 boulevard vincent auriol, 75013 paris;;75013
5;place francois ier, 75008 paris;;75008
2312;21 rue des poissonniers, 75018 paris;;75018
6;21 rue augustin thierry, 75019 paris;;75019
2311;ile de reuilly, 75012 paris;;75012
7;rue pasteur, 75011 paris;;75011
2310;boulevard de charonne, 75020 paris;;75020
8;passerelle bz/12, 75012 paris;;75012
3641;placea du chatelet;;75001
4972;ruea bayard;;75008
9;41b quai de la loire, 75019 paris;;75019
3642;12a placea de la nation;;75012
4973;3a quaia aux fleurs;;75004
3643;place de la bourse, 75002 paris;;75002
4974;ruea leon jouhaux;;75010
3644;place des abbesses, 75018 paris;;75018
4975;45a ruea de bellechasse;;75005
3645;place charles garnier, 75009 paris;;75009
4976;9 rue de la liberte, 75019 paris;;75019
3646;ponta de la tournelle;;75005
4977;quaia de l'horloge;;75001
2319;6 rue de beauce, 75003 paris;;75003
3647;rue buot, 75013 paris;;75013
4978;avenuea gabriel;;75008
2318;17 chaussee de la muette, 75016 paris;;75016
3648;quai des grands augustins, 75006 paris;;75006
4979;ruea arsene houssaye;;75008
4990;10a boulevarda emile augier;;75016
3660;3 place d'italie, 75013 paris;;75013
4991;ruea de bearn;;75003
3661;ruea de l'annonciation;;75016
4992;rue de marseille, 75010 paris;;75010
3662;rue eugene atget, 75013 paris;;75013
4993;1/3a ruea henri ribiere;;75019
1000;rue descartes, 75005 paris;;75005
2331;25 rue jean-jacques rousseau, 75001 paris;;75001
2330;rue d'aumale, 75009 paris;;75009
2328;32 rue de la roquette, 75011 paris;;75011
2327;rue de l'abreuvoir, 75018 paris;;75018
2326;place napoleon iii, 75010 paris;;75010
2325;3 rue de la roquette, 75011 paris;;75011
2324;rue de richelieu, 75002 paris;;75002
2323;place des vosges, 75004 paris;;75004
2322;5 place de la sorbonne, 75005 paris;;75005
2321;45 rue de rochechouart, 75009 paris;;75009
3652;rue du bourg l'abbe, 75003 paris;;75003
4983;1a ruea de bretagne;;75003
3653;44 avenue des champs elysees, 75008 paris;;75008
4984;25 boulevard pershing, 75017 paris;;75017
3654;46 rue des gravilliers, 75003 paris;;75003
4985;avenuea van dyck;;75008
3655;2 avenue ingres, 75016 paris;;75016
4986;49/49bisa boulevarda de picpus;;75012
3656;20a ruea beccaria;;75012
4987;19a avenuea kleber/the peninsula;;75016
3657;rue eugene atget, 75013 paris;;75013
4988;50 rue julien lacroix, 75020 paris;;75020
3658;place de l'estrapade, 75005 paris;;75005
4989;ruea de l'opera;;75002
2329;8 rue legouve, 75010 paris;;75010
3659;avenue de la cascade, 75019 paris;;75019
3670;rue bossuet, 75010 paris;;75010
3671;12 rue de laborde, 75008 paris;;75008
3672;70a ruea de meaux;;75019
3673;boulevard auguste blanqui, 75013 paris;;75013
1011;2 rue de bellevue, 75019 paris;;75019
2342;quai d'anjou, 75004 paris;;75004
1010;62 avenue de suffren, 75015 paris;;75015
2341;ruea saint victor;;75005
2340;placea dauphine;;75001
1008;rue de crimee, 75019 paris;;75019
2339;1 rue de libourne, 75012 paris;;75012
1007;3 rue dupont de l'eure, 75020 paris;;75020
2338;placea de l'estrapade;;75005
1006;quai de la tournelle, 75005 paris;;75005
2337;ruea fessart;;75019
1005;171 boulevard serurier, 75019 paris;;75019
2336;1 boulevard serurier, 75019 paris;;75019
1004;place farhat hached, 75013 paris;;75013
2335;place valhubert, 75005 paris;;75005
1003;boulevard de magenta, 75010 paris;;75010
2334;1 avenue junot, 75018 paris;;75018
1002;place de l'opera, 75009 paris;;75009
2333;avenue darcel, 75019 paris;;75019
1001;place leon deubel, 75016 paris;;75016
2332;17 rue de marseille, 75010 paris;;75010
3663;360 rue des pyrenees, 75020 paris;;75020
4994;1/3a ruea henri ribiere;;75019
3664;rue d'orchampt, 75018 paris;;75018
4995;4 rue baste, 75019 paris;;75019
3665;avenue rachel, 75018 paris;;75018
4996;pont neuf, 75001 paris;;75001
3666;4a ruea burnouf;;75019
4997;24 rue marie-andree lagroua weill-halle, 75013 paris;;75013
3667;passage boiton, 75013 paris;;75013
4998;33a avenuea secretan;;75019
3668;rue lepic, 75018 paris;;75018
4999;102b rue de bagnolet, 75020 paris;;75020
3669;rue des saules, 75018 paris;;75018
1009;rue de rivoli, 75001 paris;;75001
3680;94 quai de jemmapes, 75010 paris;;75010
3681;20 quai des tuileries, 75001 paris;;75001
3682;impassea de la poissonnerie;;75004
3683;avenue gustave eiffel, 75007 paris;;75007
3684;pont des arts, 75001 paris;;75001
1022;10 avenue de camoens, 75116 paris;;75116
2353;ruea blanche/de bruxelles;;75009
1021;place saint-gervais, 75004 paris;;75004
2352;placea du trocadero;;75016
1020;65 rue du chateau d'eau, 75010 paris;;75010
2351;passage rochebrune, 75011 paris;;75011
2350;avenuea henri martin;;75016
1019;rue de l'ecole de medecine, 75006 paris;;75006
1018;59 avenue de segur, 75007 paris;;75007
2349;citea charles godon;;75009
1017;allee adrienne lecouvreur, 75007 paris;;75007
2348;46 boulevard serurier, 75019 paris;;75019
1016;15 rue de l'ecole de medecine, 75006 paris;;75006
2347;1bisa passagea de la fonderie;;75011
1015;rue de harlay, 75001 paris;;75001
2346;placea de l'estrapade;;75005
1014;rue des saules, 75018 paris;;75018
2345;quai de la tournelle, 75005 paris;;75005
1013;23 rue beaubourg, 75003 paris;;75003
2344;18a boulevarda saint martin;;75010
1012;6 place saint-pierre, 75018 paris;;75018
2343;40a ruea corvisart;;75013
3674;route du donjon, 75012 paris;;75012
3675;17 place dauphine, 75001 paris;;75001
3676;avenue de nogent, 75012 paris;;75012
3677;routea de sevres;;75016
3678;port des saints-peres, 75006 paris;;75006
3679;188b rue de rivoli, 75001 paris;;75001
3690;20 avenue de laumiere, 75019 paris;;75019
3691;9 rue de la ferme de savy, 75020 paris;;75020
3692;40a ruea notre dame des victoires (le galopin);;75002
3693;rue emile pierre casel, 75020 paris;;75020
3694;14 place jacques bonsergent, 75010 paris;;75010
3695;59 avenue de segur, 75007 paris;;75007
1033;place saint-gervais, 75004 paris;;75004
2364;parca andre citroen;;75015
1032;place du trocadero et du onze novembre, 75116 paris;;75116
2363;rue helene brion, 75013 paris;;75013
1031;56 rue monge, 75005 paris;;75005
2362;placea de la reunion;;75020
1030;2 rue de navarre, 75005 paris;;75005
2361;2a ruea de turgot;;75009
2360;allee des cygnes, 75015 paris;;75015
1029;11 rue saint-dominique, 75007 paris;;75007
1028;boulevard de bonne nouvelle, 75002 paris;;75002
2359;ruea de dunkerque;;75010
1027;76 rue de seine, 75006 paris;;75006
2358;avenuea de breteuil;;75007
1026;57 boulevard de reuilly, 75012 paris;;75012
2357;18 rue de dunkerque, 75010 paris;;75010
1025;20 avenue rachel, 75018 paris;;75018
2356;4a ruea arsene houssaye;;75008
1024;17 boulevard morland, 75004 paris;;75004
2355;ruea linois;;75015
1023;24 rue de sevres, 75007 paris;;75007
2354;route de la pyramide, 75012 paris;;75012
3685;1 rue de tombouctou, 75018 paris;;75018
3686;11 rue dupetit-thouars, 75003 paris;;75003
3687;15a ruea poliveau;;75005
3688;boulevard de rochechouart, 75009 paris;;75009
3689;9 rue pecquay, 75004 paris;;75004
1044;193 rue saint-denis, 75002 paris;;75002
2375;rue de rambouillet, 75012 paris;;75012
1043;3 avenue adrien hebrard, 75016 paris;;75016
2374;9 avenue bugeaud, 75116 paris;;75116
1042;3 avenue richerand, 75010 paris;;75010
2373;ruea de castiglione;;75001
1041;80 boulevard saint-germain, 75005 paris;;75005
2372;avenue charles floquet, 75007 paris;;75007
1040;quai des tuileries, 75001 paris;;75001
2371;13 rue de clignancourt, 75018 paris;;75018
2370;49a boulevarda picpus;;75012
1039;rue lepic, 75018 paris;;75018
1038;rue botzaris, 75019 paris;;75019
2369;4 port d'austerlitz, 75013 paris;;75013
1037;boulevard garibaldi, 75015 paris;;75015
2368;19 rue keller, 75011 paris;;75011
1036;14 boulevard saint-germain, 75005 paris;;75005
2367;ruea des trois freres/rue yvonne le tac;;75018
1035;44 avenue d'ivry, 75013 paris;;75013
2366;place charles garnier, 75009 paris;;75009
1034;2 rue ferdinand flocon, 75018 paris;;75018
2365;ecolea de cuisine/64 rue du ranelagh;;75016
3696;17 avenue kleber, 75116 paris;;75116
3697;15a ruea poliveau;;75013
3698;71 rue saint-maur, 75011 paris;;75011
3699;9 rue brown-sequard, 75015 paris;;75015
1055;rue oberkampf, 75011 paris;;75011
2386;2 impasse saint-eustache, 75001 paris;;75001
1054;place edith piaf, 75020 paris;;75020
2385;10b avenue trudaine, 75009 paris;;75009
1053;rue de la py, 75020 paris;;75020
2384;41 boulevard auguste blanqui, 75013 paris;;75013
1052;60 rue des francs bourgeois, 75003 paris;;75003
2383;11 rue du faubourg saint-martin, 75010 paris;;75010
1051;rue cabanis, 75014 paris;;75014
2382;rue las cases, 75007 paris;;75007
1050;place el salvador, 75007 paris;;75007
2381;13 rue dupont des loges, 75007 paris;;75007
2380;1 rue botzaris, 75019 paris;;75019
1049;60 rue des francs bourgeois, 75003 paris;;75003
1048;4 avenue hoche, 75008 paris;;75008
2379;pont neuf, 75001 paris;;75001
1047;square de la tour saint-jacques, 75004 paris;;75004
2378;6 avenue van dyck, 75008 paris;;75008
1046;15 rue saint-blaise, 75020 paris;;75020
2377;2 rue manin, 75019 paris;;75019
1045;13 rue de la grange aux belles, 75010 paris;;75010
2376;quai des orfevres, 75001 paris;;75001
1066;81 avenue de segur, 75015 paris;;75015
2397;rue duris, 75020 paris;;75020
1065;35 boulevard de courcelles, 75008 paris;;75008
2396;19 rue corvisart, 75013 paris;;75013
1064;place de thorigny, 75003 paris;;75003
2395;32 rue condorcet, 75009 paris;;75009
1063;place de la porte de bagnolet, 75020 paris;;75020
2394;92 rue vergniaud, 75013 paris;;75013
1062;5 rue santerre, 75012 paris;;75012
2393;place rhin et danube, 75019 paris;;75019
1061;66 rue charlot, 75003 paris;;75003
2392;place dauphine, 75001 paris;;75001
1060;34 quai des orfevres, 75001 paris;;75001
2391;31 rue proudhon, 75012 paris;;75012
2390;1 boulevard serurier, 75019 paris;;75019
1059;avenue de segur, 75007 paris;;75007
1058;rue greneta, 75002 paris;;75002
2389;avenue de la porte de vincennes, 75012 paris;;75012
1057;rue la condamine, 75017 paris;;75017
2388;passage de la station de menilmontant, 75020 paris;;75020
1056;53 boulevard richard lenoir, 75011 paris;;75011
2387;parvis rosa parks, 75019 paris;;75019
1077;54 rue de menilmontant, 75020 paris;;75020
1076;rue des annelets, 75019 paris;;75019
1075;rue des boulangers, 75005 paris;;75005
1074;37 avenue trudaine, 75009 paris;;75009
1073;rue malebranche, 75005 paris;;75005
1072;158 rue damremont, 75018 paris;;75018
1071;place jules joffrin, 75018 paris;;75018
1070;8 rue coustou, 75018 paris;;75018
1069;rue watt, 75013 paris;;75013
1068;1 parvis notre-dame place jean-paul ii, 75004 paris;;75004
2399;55 avenue de saint-mande, 75012 paris;;75012
1067;rue bretonneau, 75020 paris;;75020
2398;rue de la harpe, 75005 paris;;75005
1080;place ferdinand brunot, 75014 paris;;75014
1088;9 avenue hoche, 75008 paris;;75008
1087;rue jean lantier, 75001 paris;;75001
1086;182 rue saint-denis, 75002 paris;;75002
1085;35 boulevard de courcelles, 75008 paris;;75008
1084;3 avenue de l'opera, 75001 paris;;75001
1083;108 rue saint-lazare, 75008 paris;;75008
1082;avenue des champs elysees, 75008 paris;;75008
1081;avenue robert schuman, 75007 paris;;75007
1079;32 rue de picardie, 75003 paris;;75003
1078;place louis aragon, 75004 paris;;75004
1091;2 rue du general blaise, 75011 paris;;75011
1090;route du grand prieur, 75012 paris;;75012
1099;rue pierre castagnou, 75014 paris;;75014
1098;passage miriam makeba, 75012 paris;;75012
1097;rue albinoni, 75012 paris;;75012
1096;4 rue turgot, 75009 paris;;75009
1095;21 rue piat, 75020 paris;;75020
1094;carrefour de l'odeon, 75006 paris;;75006
1093;pont des arts, 75001 paris;;75001
1092;127 quai de valmy, 75010 paris;;75010
1089;port de passy, 75016 paris;;75016
8501;4 place de tokyo, 75116 paris;;75116
8502;avenue de marigny, 75008 paris;;75008
8500;126 rue compans, 75019 paris;;75019
200;rue du chevalier de la barre, 75018 paris;;75018
201;17 avenue d'iena, 75116 paris;;75116
202;place charles garnier, 75009 paris;;75009
203;59 rue des peupliers, 75013 paris;;75013
204;avenue de la republique, 75011 paris;;75011
205;rue de wattignies, 75012 paris;;75012
206;5 rue charles-francois dupuis, 75003 paris;;75003
207;85 avenue simon bolivar, 75019 paris;;75019
208;2 avenue de villiers, 75017 paris;;75017
209;place de la republique, 75011 paris;;75011
8512;10 rue philippe de girard, 75010 paris;;75010
8513;62 rue raynouard, 75016 paris;;75016
8510;pont d'iena, 75007 paris;;75007
8511;12 place du pantheon, 75005 paris;;75005
210;21 rue du departement, 75018 paris;;75018
211;23 rue jean-pierre timbaud, 75011 paris;;75011
212;32 avenue paul doumer, 75116 paris;;75116
213;21 rue rottembourg, 75012 paris;;75012
214;13 boulevard du fort de vaux, 75017 paris;;75017
215;rue de menilmontant, 75020 paris;;75020
216;avenue de choisy, 75013 paris;;75013
217;10 rue montmartre, 75001 paris;;75001
8505;avenue de lowendal, 75007 paris;;75007
218;placea de l'opera;;75009
8506;104 rue jean-pierre timbaud, 75011 paris;;75011
219;58 rue de courcelles, 75008 paris;;75008
8503;158 rue du temple, 75003 paris;;75003
8504;30 rue villiers de l'isle adam, 75020 paris;;75020
8509;6 rue pierre au lard, 75004 paris;;75004
8507;rue adolphe yvon, 75116 paris;;75116
8508;35 rue benjamin franklin, 75116 paris;;75116
8520;138 rue marcadet, 75018 paris;;75018
8523;5 rue de bellievre, 75013 paris;;75013
8524;quai d'austerlitz, 75013 paris;;75013
8521;rue sainte-foy, 75002 paris;;75002
8522;7 avenue velasquez, 75008 paris;;75008
220;18a ruea vauquelin;;75005
221;86 rue du ruisseau, 75018 paris;;75018
222;ruea de cluny;;75005
223;113 rue de meaux, 75019 paris;;75019
224;8a ruea poliveau;;75005
225;place du onze novembre 1918, 75010 paris;;75010
226;villaa emile loubert/rue mouzaia;;75019
227;1 rue de belgrade, 75007 paris;;75007
228;parca montsouris;;75014
8516;terrasse du commandant jacques blasquez, 75011 paris;;75011
229;rue de galliera, 75116 paris;;75116
8517;1 rue rene panhard, 75013 paris;;75013
8514;rue de crussol, 75011 paris;;75011
8515;rue amelot, 75011 paris;;75011
8518;place de la republique, 75011 paris;;75011
8519;57 rue cuvier, 75005 paris;;75005
8530;boulevarda de denain;;75010
8531;rue des barres, 75004 paris;;75004
7200;1 rue tessier, 75015 paris;;75015
7202;5 rue la quintinie, 75015 paris;;75015
8534;rue de martignac, 75007 paris;;75007
7201;place des abbesses, 75018 paris;;75018
8535;4 place tattegrain, 75116 paris;;75116
7204;16 rue du repos, 75020 paris;;75020
8532;33 boulevard de la chapelle, 75010 paris;;75010
7203;8 rue du renard, 75004 paris;;75004
8533;rue saulnier, 75009 paris;;75009
230;rue saint-denis, 75002 paris;;75002
231;rue de marseille, 75010 paris;;75010
232;74 avenue philippe-auguste, 75011 paris;;75011
233;24 boulevard de la tour-maubourg, 75007 paris;;75007
234;16 avenue victor hugo, 75116 paris;;75116
235;74 rue botzaris, 75019 paris;;75019
236;place de la concorde, 75008 paris;;75008
237;2 place jacques marette, 75015 paris;;75015
238;passerelle*a du bassin de la villette;;75019
239;9 avenue du general laperrine, 75012 paris;;75012
8527;rue de la bienfaisance, 75008 paris;;75008
8528;ruea des fosses saint bernard;;75005
8525;17 rue rene boulanger, 75010 paris;;75010
8526;avenue raphael, 75016 paris;;75016
8529;ruea des roses;;75018
8541;quai de valmy, 75010 paris;;75010
8542;1 rue de brosse, 75004 paris;;75004
7211;parvis notre-dame place jean-paul ii, 75004 paris;;75004
7210;31 rue titon, 75011 paris;;75011
8540;15 rue thomas mann, 75013 paris;;75013
7213;16/24a ruea de belleville;;75019
8545;109 boulevard voltaire, 75011 paris;;75011
7212;30 place de la madeleine, 75008 paris;;75008
8546;1 parvis du sacre-coeur, 75018 paris;;75018
7215;boulevarda diderot/rue de picpus;;75012
8543;rue martel, 75010 paris;;75010
7214;176 rue la fayette, 75010 paris;;75010
8544;43 rue des ecoles, 75005 paris;;75005
240;ruea de belleville;;75020
241;13 rue edouard robert, 75012 paris;;75012
242;citea de trevise;;75009
243;rue de l'arsenal, 75004 paris;;75004
244;47a ruea de martyrs;;75009
245;3 rue de l'echaude, 75006 paris;;75006
246;palais*a de justice;;75001
247;rue cardinale, 75006 paris;;75006
248;25a avenuea de l'observatoire;;75006
249;cite griset, 75011 paris;;75011
7206;244 rue de rivoli, 75001 paris;;75001
8538;12 avenue parmentier, 75011 paris;;75011
7205;46 boulevard de la bastille, 75012 paris;;75012
8539;rue des vinaigriers, 75010 paris;;75010
7208;rue juste metivier, 75018 paris;;75018
8536;42 rue madame, 75006 paris;;75006
7207;17 avenue de villiers, 75017 paris;;75017
8537;passage rochebrune, 75011 paris;;75011
7209;rue du faubourg du temple, 75011 paris;;75011
7220;45 rue la boetie, 75008 paris;;75008
8552;rue de l'epee de bois, 75005 paris;;75005
8553;19 avenue rachel, 75018 paris;;75018
