id;nom;idgenre
1220;lucien jean baptiste;
1461;paul lapierre;
1217;cedric lepretre;
1214;pierre-andre lhomme;
1698;marie garel weiss;
1213;jacques audiard;
1454;nonstop producoes;
1696;alexandre castagnetti;
1212;bruno mercier;
1211;michele laroque;
1453;ange raynaud;
1694;romane bohringer;
1219;margaux lenfant;
1218;lea mazer;
1473;liu chun-chien;
1231;n/a;
1472;stephane kappes;
1471;vincent garenq;
0;jerome cornuau;
1469;philippe le guay;
1227;anna cazanave-cambet;
1468;guillaume gallienne;
3;jean-philippe amar;
1467;felix guimard;
5;marc fitoussi;
1223;maxime govare;
6;eric le roux;
1221;denis thybaud;
801;coline pagoda;
803;plaignaud denis;
804;vipul shah;
1229;gabriele muccino;
808;philippe de chauveron;
809;leo zhang;
1242;emmanuel courcol;
1483;eva ionesco;
1481;frank bellocq;
1479;matthew weiner;
1236;romain levy;
1234;nadir mokneche;
1233;florent sabatier;
1475;frederic schoendoerffer;
1474;alex graves;
810;gregory magne;
811;david chausse;
813;thomas gilou;
819;david hugonot petit;
1253;stephane robelin;
1251;hirokazu kore-eda;
1250;pierre schoeller;
1491;nath dumont;
1490;marc fitoussi;
1006;maxime govare;
1488;lisa azuelos;
1245;daniel cohen;
1003;antonin peretjatko;
1487;matthias schweighoffer;
1002;shujaat saudagar;
1486;valerie donzelli;
1244;dan zeff;
820;tomer sisley;
1001;huo jianqi;
1243;sandrine kiberlain;
822;bruno muschio;
823;fabrice laffont;
824;sophie marceau;
825;nikola lange;
1009;nicolas cuche;
1022;mahamat-saleh haroun;
1264;philippe lacheau;
1263;xiancheng deng;
1020;thierry binisti;
1261;philippe garrel;
1019;hector cabello reyes;
1018;akim isker;
1259;michel leclerc;
1016;thibaud martin;
1015;sandrine dumas;
1499;e.tolenado/o.nakache;
1257;simon astier;
1014;romuald boulanger;
1498;delphine seignon;
1013;marilou berry;
832;mabrouk el mechri;
1496;cedric anger;
1012;july hygreck;
833;theodore bonnet;
836;hippolyte dard;
837;cecilia rouaud;
1033;tien-jen huang;
1274;tuva novotny;
1273;varante soudjian;
1270;josee dayan;
1269;cheyenne carron;
840;ludovic bergery;
1026;virginie saveur;
1268;rachid bouchareb;
841;nadege loiseau;
1024;jacques doillon;
842;nessim chikhaoui;
601;shira geffen;
843;sou abadi;
1023;hugo blick;
1265;louis leterrier;
602;olivier jahan;
845;olivier baroux;
603;ludovic  hudson;
605;alex zamm;
847;eric guirado;
848;tarek boudali;
849;david weill;
608;sebasien cirade;
1286;sophie fillieres;
