key_film;TITRE;AUTEUR;nbEmprunt;annee_tournage;type_tournage;imdbid;year;rating
948;6d production;ange raynaud;;2019;serie web;;;
8920;killing season;;;;;1480295;2013;1
8921;twilight saga: breaking dawn - part 1, the;;;;;1324999;2011;3
8922;run all night;;;;;2199571;2015;1
8923;dictator, the;;;;;1645170;2012;1
8924;hick;;;;;1205558;2011;3
8925;ant-man and the wasp;;;;;5095030;2018;3
8926;encore heureux;graffin, benoit;163;;;;;
8927;mystery men;;;;;0132347;1999;1
8928;les vacances de monsieur hulot;tati, jacques;674;;;;;
8929;senna;;;;;1424432;2010;1
8930;franklyn;;;;;0893402;2008;2
8931;big girls don't cry;;;;;0291213;2002;3
8932;brotherhood of the wolf;;;;;0237534;2001;2
8933;le petit prince;osborne, mark;152;;;;;
8934;super 8;;;;;1650062;2011;3
8935;manny &amp  lo;;;;;0116985;1996;3
8936;humorous phases of funny faces;;;;;0000554;1906;0
8937;khumba;silverston, anthony;533;;;;;
8938;wild things: diamonds in the rough;;;;;0448179;2005;3
8939;one million yen girl;;;;;1077094;2008;3
8940;mina tannenbaum;;;;;0110521;1994;3
8941;lights out;;;;;4786282;2016;3
8552;premieres vacances;patrick cassir;;2017;long metrage;;;
8942;avenue q;;;;;5657412;2003;2
8943;rebecca of sunnybrook farm;;;;;0008499;1917;3
8944;robocop;padilha, jose;154;;;;;
8945;abyss, the;;;;;0096754;1989;3
8946;true detective. saison 3, intaegrale;pizzolatto, nic;87;;;;;
8947;warcraft;;;;;0803096;2016;3
8948;from prada to nada;;;;;0893412;2011;3
8949;ceremony;;;;;1341341;2010;2
8950;moonlight mile;;;;;0179098;2002;3
8951;jusqu aa la garde;legrand, xavier;249;;;;;
7458;mdr / maison de retraite;thomas gilou;;2020;long metrage;;;
8952;asterix et cleopatre;;;;;0062687;1968;0
8953;pursuit of happyness, the;;;;;0454921;2006;0
8832;quand sort la recluse;josee dayan;;2018;telefilm;;;
8954;eeny meeny;;;;;0230183;2000;3
8955;dead snow;;;;;1278340;2009;2
8956;out of sight;;;;;0120780;1998;2
8957;happiness;;;;;0147612;1998;3
8958;inbetweeners movie, the;;;;;1716772;2011;1
8959;rambo;;;;;0462499;2008;0
8960;ratatouille;;;;;0382932;2007;1
8961;kung fu panda 3;;;;;2267968;2016;3
3574;chroniques parisiennes 10;zabou breitman;;2017;serie tv;;;
8962;then she found me;;;;;0455805;2007;3
8963;avant que nous disparaissions;kurosawa, kiyoshi;134;;;;;
8964;after;;;;;4126476;2019;3
8965;flashdance;;;;;0085549;1983;3
8181;candice renoir saison 7 ep 62-63-64;pascal lahmani;;2018;serie tv;;;
8966;macgruber;;;;;1470023;2010;1
8967;les profs;martin-laval, pierre-francois;695;;;;;
8968;yellow submarine;;;;;0063823;1968;0
8969;barbie: princess charm school;;;;;2066832;2011;3
8970;dead silence;;;;;0455760;2007;1
8971;death train;;;;;0106689;1993;3
8972;batman: return of the caped crusaders;;;;;5973626;2016;1
8973;secret of roan inish, the;;;;;0111112;1994;3
8974;chicago;;;;;0299658;2002;3
8975;eurovision song contest: the story of fire saga;;;;;8580274;2020;3
7984;numero une;tonie marshall;;2016;long metrage;;;
8976;show me love;;;;;0150662;1998;3
8977;criminal;;;;;3014866;2016;3
8978;no country for old men;;;;;0477348;2007;3
8979;until dawn;;;;;2742544;2015;3
8980;butterfly effect, the;;;;;0289879;2004;2
8981;un conte de noel;desplechin, arnaud;697;;;;;
8982;downton abbey. saison 1, intaegrale;fellowes, julian;126;;;;;
8983;me before you;;;;;2674426;2016;3
8412;la flamme;jonathan cohen  jeremie galan;;2019;serie tv;;;
8984;stay tuned;;;;;0105466;1992;2
8985;back to the future part ii;;;;;0096874;1989;3
8986;apartment, the;;;;;0053604;1960;3
8164;rose;niels arden oplev;;2020;long metrage;;;
8987;l art d aimer;mouret, emmanuel;171;;;;;
8988;outpost;;;;;0892899;2008;0
8989;spider-man;;;;;0145487;2002;1
8990;wrecked;;;;;1316622;2010;0
8991;star wars;;;;;0076759;1977;1
8992;taken 2;;;;;1397280;2012;2
8993;seules les baetes;moll, dominik;68;;;;;
8994;greenfingers;;;;;0203540;2000;3
8995;cigarettes et chocolat chaud;reine, sophie;158;;;;;
8996;freier fall;;;;;2617828;2013;1
7744;documentaire cesar 2018;;;2018;long metrage;;;
8997;gattaca;;;;;0119177;1997;1
8998;dark shadows;burton, tim;899;;;;;
8999;in fabric;;;;;7464188;2018;3
9000;denial;;;;;4645330;2016;3
9001;walking tall;;;;;0351977;2004;1
9002;enemy;villeneuve, denis;326;;;;;
9003;mobius;rochant, eric;596;;;;;
9004;ghosthunters;;;;;3711622;2015;3
9005;downhill [when boys leave home];;;;;0017825;1927;1
9006;fatal instinct;;;;;0106873;1993;3
9007;cold war;;;;;6543652;2018;3
9008;robots;wedge, chris;838;;;;;
9009;l imaginarium du docteur parnassus;gilliam, terry;705;;;;;
9010;r u there;;;;;1443518;2010;0
9011;horton;hayward, jimmy;1183;;;;;
9012;mission: impossible - rogue nation;;;;;2381249;2015;0
9013;two moon junction;;;;;0096324;1988;3
9014;a dog's purpose;;;;;1753383;2017;1
9015;my best friend's wedding;;;;;0119738;1997;2
9016;bombshells and dollies;;;;;6065988;2019;3
9017;good dinosaur, the;;;;;1979388;2015;3
5759;especes menacees;gilles bourdos;;2016;long metrage;;;
9018;quebramar;;;;;11621206;2019;3
9019;fracture;;;;;0488120;2007;1
8678;la sainte famille;louis-do lencquesaing;;2018;long metrage;;;
9020;mighty joe young;;;;;0041650;1949;0
9021;anna unbound;;;;;4069042;2015;3
9022;gueros;;;;;3499048;2014;2
9023;second best exotic marigold hotel, the;;;;;2555736;2015;3
9024;meine schwestern;;;;;2582008;2013;3
9025;shaft;;;;;0067741;1971;1
9026;they came back;;;;;0378661;2004;3
9027;johnny english strikes again;;;;;6921996;2018;1
9028;blood stripe;;;;;3838802;2016;1
9029;sur la piste du marsupilami;chabat, alain;1263;;;;;
9030;en avant;scanlon, dan;72;;;;;
9031;deadpool;miller, tim;274;;;;;
8867;lisa redler;nicole garcia;;2019;long metrage;;;
9032;chun gwong cha sit (happy together);;;;;0118845;1997;0
6848;made in china;julien abraham;;2017;long metrage;;;
9033;waiting...;;;;;0348333;2005;3
9034;bonnie and clyde;;;;;0061418;1967;3
9035;vice;;;;;6266538;2018;2
9036;romance &amp  cigarettes;;;;;0368222;2005;3
9037;captain america 3 : civil war;russo, anthony;537;;;;;
9038;taxi teheran;panahi, jafar;444;;;;;
9039;fantasia;;;;;0032455;1940;0
9040;l.a. story;;;;;0102250;1991;3
8886;simone benloulou;myriam aziza;;2016;long metrage;;;
9041;a royal affair;;;;;1276419;2012;3
9042;dumbo;burton, tim;98;;;;;
9043;last word, the;;;;;5023260;2017;3
9044;jaws: the revenge;;;;;0093300;1987;3
9045;upgrade;;;;;6499752;2018;2
9046;gorillas in the mist;;;;;0095243;1988;3
9047;dogville;;;;;0276919;2003;3
9048;shutter island;;;;;1130884;2010;1
9049;animal kingdom;;;;;1313092;2010;1
9050;hello, my name is doris;;;;;3766394;2015;3
9051;my little pony: equestria girls - rainbow rocks;;;;;3529198;2014;3
9052;all of me;;;;;0086873;1984;2
9053;camille redouble;lvovsky, noaemie;197;;;;;
9054;bedazzled;;;;;0061391;1967;3
9055;thanks for sharing;;;;;1932718;2013;2
9056;american outlaws;;;;;0244000;2001;1
