key_lieu;id_lieu;adresse_lieu;ardt_lieu;coord_x;coord_y;geo_shape;geo_point_2d
1;2019-168;rue payenne, 75003 paris;75003;2.3624697;48.85822;"{""type"": ""Point"", ""coordinates"": [2.36246962418062, 48.85821901101249]}";48.858219011,2.36246962418
2;2019-169;rue bichat, 75010 paris;75010;2.3678737;48.871807;"{""type"": ""Point"", ""coordinates"": [2.367873777552742, 48.871806686016164]}";48.871806686,2.36787377755
3;2019-523;7 rue du jourdain, 75020 paris;75020;2.3892717;48.874794;"{""type"": ""Point"", ""coordinates"": [2.389271644840493, 48.87479520379267]}";48.8747952038,2.38927164484
4;2019-528;rue adolphe yvon, 75116 paris;75116;2.271611;48.86404;"{""type"": ""Point"", ""coordinates"": [2.271610942737006, 48.86404195655532]}";48.8640419566,2.27161094274
5;2019-1449;place francois ier, 75008 paris;75008;2.307606;48.866257;"{""type"": ""Point"", ""coordinates"": [2.307606101729049, 48.866256855294466]}";48.8662568553,2.30760610173
6;2019-1450;21 rue augustin thierry, 75019 paris;75019;2.3932328;48.876156;"{""type"": ""Point"", ""coordinates"": [2.393232921569863, 48.87615564093728]}";48.8761556409,2.39323292157
7;2018-800;rue pasteur, 75011 paris;75011;2.3758988;48.862366;"{""type"": ""Point"", ""coordinates"": [2.375898877340252, 48.86236702389297]}";48.8623670239,2.37589887734
8;2018-817;passerelle bz/12, 75012 paris;75012;2.387365;48.84233;"{""type"": ""Point"", ""coordinates"": [2.387365205648781, 48.84232936460221]}";48.8423293646,2.38736520565
9;2018-1516;41b quai de la loire, 75019 paris;75019;2.3790288;48.887615;"{""type"": ""Point"", ""coordinates"": [2.379028729534671, 48.887614194350235]}";48.8876141944,2.37902872953
10;2018-1519;5 avenue albert de mun, 75116 paris;75116;2.291474;48.86304;"{""type"": ""Point"", ""coordinates"": [2.29147418547214, 48.86303971716837]}";48.8630397172,2.29147418547
11;2018-1544;1 place de breteuil, 75007 paris;75007;2.31225;48.847706;"{""type"": ""Point"", ""coordinates"": [2.312249820472198, 48.84770727879403]}";48.8477072788,2.31224982047
12;2018-1551;boulevard gouvion-saint-cyr, 75017 paris;75017;2.28736;48.88305;"{""type"": ""Point"", ""coordinates"": [2.28735985046238, 48.883048476557065]}";48.8830484766,2.28735985046
13;2019-478;52 rue condorcet, 75009 paris;75009;2.3430867;48.880287;"{""type"": ""Point"", ""coordinates"": [2.343086793647637, 48.8802886362519]}";48.8802886363,2.34308679365
14;2019-480;10 boulevard delessert, 75016 paris;75016;2.2850468;48.858833;"{""type"": ""Point"", ""coordinates"": [2.285046731117117, 48.85883320971258]}";48.8588332097,2.28504673112
15;2019-1477;rue de la manutention, 75116 paris;75116;2.29626;48.863453;"{""type"": ""Point"", ""coordinates"": [2.296260137595485, 48.86345164607685]}";48.8634516461,2.2962601376
16;2018-858;rue du grand prieure, 75011 paris;75011;2.368791;48.865444;"{""type"": ""Point"", ""coordinates"": [2.368791130007619, 48.86544603537523]}";48.8654460354,2.36879113001
17;2018-862;18 place de la republique, 75010 paris;75010;2.3628306;48.86796;"{""type"": ""Point"", ""coordinates"": [2.362830719160752, 48.86796291717311]}";48.8679629172,2.36283071916
18;2018-1257;voie dd/12, 75012 paris;75012;2.4146152;48.84663;"{""type"": ""Point"", ""coordinates"": [2.414615243190571, 48.84663193262046]}";48.8466319326,2.41461524319
19;2018-1273;pont saint-louis, 75004 paris;75004;2.3523061;48.852665;"{""type"": ""Point"", ""coordinates"": [2.352306123421938, 48.85266596442352]}";48.8526659644,2.35230612342
20;2019-235;place du pont neuf, 75001 paris;75001;2.3413928;48.85716;"{""type"": ""Point"", ""coordinates"": [2.341392804487251, 48.857159108116036]}";48.8571591081,2.34139280449
21;2019-256;9 rue pierre bourdan, 75012 paris;75012;2.391509;48.846752;"{""type"": ""Point"", ""coordinates"": [2.391509144431109, 48.84675076435551]}";48.8467507644,2.39150914443
22;2019-537;103 boulevard suchet, 75016 paris;75016;2.2598884;48.84951;"{""type"": ""Point"", ""coordinates"": [2.2598883809377233, 48.84950861991641]}";48.8495086199,2.25988838094
23;2019-1537;53 rue de saintonge, 75003 paris;75003;2.364911;48.86391;"{""type"": ""Point"", ""coordinates"": [2.364911177129406, 48.8639098910761]}";48.8639098911,2.36491117713
24;2018-917;6 rue manin, 75019 paris;75019;2.3853567;48.882893;"{""type"": ""Point"", ""coordinates"": [2.385356580158362, 48.88289293236372]}";48.8828929324,2.38535658016
25;2019-187;125 rue de grenelle, 75007 paris;75007;2.3163335;48.857754;"{""type"": ""Point"", ""coordinates"": [2.316333522737283, 48.85775339660481]}";48.8577533966,2.31633352274
26;2019-197;12 rue marbeuf, 75008 paris;75008;2.3027458;48.867783;"{""type"": ""Point"", ""coordinates"": [2.302745816394078, 48.86778091293231]}";48.8677809129,2.30274581639
27;2019-201;31 rue de grenelle, 75007 paris;75007;2.3274772;48.853737;"{""type"": ""Point"", ""coordinates"": [2.327477229535785, 48.85373535556345]}";48.8537353556,2.32747722954
28;2019-217;avenue de l'observatoire, 75005 paris;75005;2.3369594;48.840355;"{""type"": ""Point"", ""coordinates"": [2.33695948295925, 48.840356193935726]}";48.8403561939,2.33695948296
29;2019-549;10 quai d'austerlitz, 75013 paris;75013;2.373063;48.83835;"{""type"": ""Point"", ""coordinates"": [2.373062995366872, 48.838348731922885]}";48.8383487319,2.37306299537
30;2019-564;63 quai branly, 75007 paris;75007;2.2955744;48.860363;"{""type"": ""Point"", ""coordinates"": [2.2955744957986868, 48.86036432657526]}";48.8603643266,2.2955744958
31;2019-566;59 rue claude decaen, 75012 paris;75012;2.398001;48.836933;"{""type"": ""Point"", ""coordinates"": [2.398000838590899, 48.836932693115415]}";48.8369326931,2.39800083859
32;2019-567;rue claude decaen, 75012 paris;75012;2.3977046;48.83723;"{""type"": ""Point"", ""coordinates"": [2.397704682635515, 48.83723057315401]}";48.8372305732,2.39770468264
33;2019-587;85 rue du faubourg saint-denis, 75010 paris;75010;2.354837;48.873653;"{""type"": ""Point"", ""coordinates"": [2.354836977579875, 48.873654031488236]}";48.8736540315,2.35483697758
34;2019-1552;rue de furstemberg, 75006 paris;75006;2.3357208;48.854385;"{""type"": ""Point"", ""coordinates"": [2.335720884953372, 48.854384863305874]}";48.8543848633,2.33572088495
35;2019-1554;3 quai de montebello, 75005 paris;75005;2.3499537;48.851482;"{""type"": ""Point"", ""coordinates"": [2.349953539162914, 48.85148188643522]}";48.8514818864,2.34995353916
36;2019-1567;74 quai des orfevres, 75001 paris;75001;2.341508;48.85679;"{""type"": ""Point"", ""coordinates"": [2.341507929023692, 48.85678841728761]}";48.8567884173,2.34150792902
37;2019-1573;place de la fontaine timbaud, 75011 paris;75011;2.3713434;48.866165;"{""type"": ""Point"", ""coordinates"": [2.371343355670967, 48.86616491239837]}";48.8661649124,2.37134335567
38;2017-79;rue du faubourg saint-denis, 75010 paris;75010;2.3560512;48.87586;"{""type"": ""Point"", ""coordinates"": [2.35605119524243, 48.875857827450034]}";48.8758578275,2.35605119524
39;2017-82;5 rue du huit mai 1945, 75010 paris;75010;2.358766;48.87595;"{""type"": ""Point"", ""coordinates"": [2.358765959464135, 48.87594952721146]}";48.8759495272,2.35876595946
40;2017-92;rue botzaris, 75019 paris;75019;2.3824196;48.878765;"{""type"": ""Point"", ""coordinates"": [2.382419480364509, 48.87876466612063]}";48.8787646661,2.38241948036
41;2017-95;7 rue du jourdain, 75020 paris;75020;2.3892717;48.874794;"{""type"": ""Point"", ""coordinates"": [2.389271644840493, 48.87479520379267]}";48.8747952038,2.38927164484
