key_realisateur;key_film;AUTEUR
1;6007;luc besson
2;;rochant, eric
3;8649;jean-philippe amar
4;8629;antoine garceau
5;8629;marc fitoussi
6;8780;eric le roux
7;;sung-gang, lee
8;;amaouche, nassim
9;;izquierdo, angel
10;8901;guillaume lubrano
11;8901;francois descraques
12;6852;doria achour
13;6852;sylvain cattenoy
14;;burton, mark
15;3659;felix moati
16;;zobel, craig
17;;podalydaes, bruno
20;;martin-laval, pierre-frandcois
21;;delepine, benoait
22;;ghobadi, bahman
23;;dion, cyril
24;;leigh, mike
25;5018;benjamin euvrard
26;;ngijol, thomas.
27;;chapman, gary
28;;becker, walt
29;4760;marino giardinelli
30;;chouraqui, elie
31;2441;stephanie pilonca
32;;rahimi, atiq
33;;kondo, yoshifumi
34;5950;gabriel julien lafferiere
36;8594;frederic tellier
37;4426;nine antico
38;;bonitzer, pascal
39;;cronenberg, david
40;;haynes, todd
41;;liebesman, jonathan
42;8913;etienne chatiliez
43;8502;bruno dumont
44;;duguay, christian
45;8273;pierre pinaud
46;8919;matthieu delaporte
47;8919;alexandre de la patelliere
48;8664;julien despaux
49;;mention-schaar, marie-castille
50;;ducournau, julia
51;7798;diane kurys
52;;asbury, kelly
53;;lecomte, ounie
54;6817;fred cavaye
55;;baker, sean
56;;pizzolatto, nic
57;8271;arnaud selignac
58;;oury, gaerard
59;8867;nicole garcia
60;;polanski roman
61;;meadows, shane
62;;hahn, gerhard
63;;kenan, gil
64;;pinaud, pierre
65;3738;alex lutz
66;6854;david moreau
67;;takahata, isao
68;;andrews, mark
69;;diab, mohamed
70;7961;tristan seguela
71;;dayton, jonathan
72;8802;olivier marchal
73;8364;anne fontaine
74;8386;vincent primault
75;8243;thierry de peretti
76;;favreau, jon
77;8115;victor saint macary
78;8574;jonathan desoindre
79;;darnell, eric
80;8403;virgine scswartz
81;5529;marine colomies
82;;hopkins, stephen
83;;schnabel, julian
84;7127;pierre trividic patrick mario bernard
85;;nakache, geraldine
86;;taechinae, andrae
87;;russell, david o.
88;5638;magaly richard serrano
89;7593;nicolas bary
90;3019;lou jeunet
91;;toledano, eric
92;;marchal, olivier
93;6426;audrey dana
94;;willimon, beau
95;7002;nadege loiseau
96;7002;julien colonna
97;6200;said khediri
98;7610;jean claude brisseau
99;8372;igor gotesman
100;7397;regis roinsard
101;;shyamalan, manoj night
102;;ayer, david
103;8028;pascal elbe
104;7403;marcela said
105;3598;mia hanse-love
106;8223;noemie saglio
107;6672;frederic auburtin
108;6672;thomas langmann
109;5901;franck gastambide
110;5901;david diane
111;;lima, kevin
112;;canet, guillaume
113;;chenouga, chad
114;8799;christophe campos
115;;moll, dominik
116;;forestier, sara
117;6753;elena cosson
118;;elissalde, serge
119;;manos, james jr
120;;charpiat, francoise
121;7355;olivier dahan
122;;nolan, christopher
123;;gilligan, vince
124;;vernoux, marion
125;;renier, jaeraemie
126;;curtis, simon
127;;legrand, xavier
128;;hooper, tom
129;;moretti, nanni
130;;inarritu, alejandro gonzales
131;;delepine, benoit
132;;elliot, adam
133;8770;p. de chauveron
134;8651;maimouna doucoure
135;7872;marion desseigne ravel
136;; ethan coen, j coen, scenario 
137;;jarmusch, jim
138;;mendes, sam
139;;gokalp, mathias
140;8672;jean-marc brondolo
141;;hayward, jimmy
142;7611;(matt quezada) 2nde equipe paris xavier roy
143;8117;claire denis
144;;sugiyama, keiichi
145;5810;emmanuel gillibert
146;4181;peter atencio
147;;vincent, christian
148;;ameris, jean-pierre
149;8444;l. colbeau justin
150;8763;christophe barratier
151;;scott, tony
152;;maistre, gilles de
153;;greengrass, paul
154;8213;michel munz 
155;8213;gerard bitton
156;6987;remi bezancon
157;;haneke, michael
158;;fleck, ryan
159;7471;masaki nishiura
160;;jimenez, cedric
161;;dupieux, quentin
162;8724;ludovic colbeau
163;;brizzi, gaetan
164;2738;noel herpe
165;8642;cathy verney
166;1442;claude lelouch
167;;hegner, michael
168;7567;marc andre brunet
169;7567;manu joucla
170;;larrain, pablo
171;;le besco, maiwenn
172;8131;saphia azzedine
173;8131;francois-regis jeanne
174;8584;stephane artus
175;;marciano, anthony.
176;;raimbault, antoine
177;8622;safy nebbou
178;;singer, bryan
179;8561;maxime matray
180;8561;alexia walther
181;8220;thomas kruithof
182;8000;yishu yang
183;2473;aguendia fotabong
184;5473;guillaume cremonese
185;;satrapi, marjane
186;;yuh, jennifer
187;6611;clint eastwood
188;3139;fabien cavalerie
189;8907;thomas bourguignon
190;;dumont, bruno
191;;meirelles, fernando
192;;farrelly, peter
193;8883;fanny sidney
194;;klapisch, caedric
195;8037;lana wachowski
196;6848;julien abraham
197;;oury, gerard
198;;lanners, bouli.
199;;frears, stephen
200;6771;nathan belloulou
201;6771;leonard marti
202;;sorkin, aaron
203;7161;will koopman
204;6945;matt bloom
205;6945;randall thorn
206;6172;emmanuel hamon
207;;trachtenberg, dan
208;8017;zhang bo li
209;8017;wang chen xi
210;;deleuze, emilie
211;8465;arnaud malherbe
212;;nichols, jeff
213;7196;leila bouzid
214;7735;emilien paron
215;8772;andre techine
216;;auteuil, daniel
217;;arriaga, guillermo
218;;mariage, benoit
219;;reitherman, wolfgang
220;1911;stephane melnyk
221;8917;murielle magellan
222;8821;eric delavaine
223;;ivernel, guillaume
224;;raimi, sam
225;;berthaud, fabienne
226;8230;francesco  mandelli
227;;gavron, sarah
228;7532;remy four
229;7532; julien war
230;8164;niels arden oplev
231;2310;jerome salle
232;8823;guillaume canet
233;;bong, joon-ho
234;3156;samy nebbou
235;;fincher, david
236;;emmerich, roland
237;;brevig, eric
238;;dong, yue
239;;kechiche, abdellatif
240;;almodovar, pedro
241;8474;claus drexel
242;;tirard, laurent
243;;hustache-mathieu, gerald.
244;;silverston, anthony
245;;madden, john
246;;stassen, ben
247;;meyers, nancy
248;8368;camille delamarre
249;;glatzer, richard
250;;fangmeier, stefen
251;8480;maurice barthelemy
252;;johnson, tim
253;;muccino, gabriele
254;;kelly, richard
255;;gilliam, terry
256;;miller, rebecca
257;2130;pascal thomas
258;;mysius, lea
259;;charles, larry
260;;mackenzie, david
261;8120;louis garrel
262;8259;adeline picault
263;6430;octave raspail
264;6430;nicolas herdt
265;;gelblat, cyril
266;;laferriere, gabriel
267;;lin, justin
268;7123;jalil lesperti
269;8893;jezabel marques nakache
270;;dupontel, albert.
271;;dembo, richard
272;6698;flavia castro
273;;derrickson, scott
274;6476;jeanne balibar
275;;darroussin, jean-pierre
276;;barratier, christophe
277;7886;ayuko tsukahara,
278;8758;eric rochant
279;8212;thierry de perreti
280;281;elodie faure boulue
281;;rouaud, cecilia
282;;mazin, craig
283;8872;erick zonca
284;8039;vincent giovanni
285;;mosier, scott
286;;kurys, diane
287;7951;julis berge
288;7951;philippe larue
289;7600;olivier assayas
290;;gilroy, tony
291;5834;philippe mechelen
292;5834;julien herve
293;;cianfrance, derek
294;;kahn, caedric
295;;barbe, vlad
296;7480;jean-philippe gaud
297;8871;albert dupontel
298;7335;lauriane escaffre, yvonnick muller
299;8381;marcella said
300;;thomas, pascal
301;;anderson, paul thomas
302;;hood, gavin
303;5676;jacqueline lentzou
304;;judor, eric
305;2882;eloise lang
306;;dindal, mark
307;;nolfi, george
308;3031;thomas cailley
309;;resnais, alain
310;8237;guillaume brac
311;6955;christophe honore
312;;freudenthal, thor
313;8656;damien chazelle
314;;burton, tim
315;3607;lee sang yeop
316;;cavaye, fred
317;;ayache-vidal, olivier
318;8154;charles van tieghem
319;;chauveron, philippe de
320;;poire, jean-marie
321;;lemercier, valerie
322;7139;nicolas maury
323;;nicloux, guillaume
324;;beauvois, xavier.
325;8791;azazel jacobs
326;;lee, jung-hyang
327;;rosenberg, rudi
328;;parker, alan
329;;lowery, david
330;;bary, nicolas
331;8588;olivier barma
332;;cuaron, alfonso
333;;ceylan, nuri bilge
334;;tykwer, tom
335;6902;pierre aknin, philippe larue
336;5584;andrea bescond
337;5584;eric metayer
338;;tartakovsky, genndy
339;;doctor, pete
340;7558;sophie levy
341;8597;christopher mac quarrie
342;;hickner, steve
343;;soren, david
344;;flackett, jennifer
345;;serreau, coline
346;;bowers, david
347;6217;emilie carpentier
348;8658;pascal bonitzer
349;;wachowski, larry
350;8226;jean-christophe meurisse
351;7478;ines reg, kevin debonne
352;7450;pierre aknine
353;8488;antonio negret
354;;desplechin, arnaud
355;;apatow, judd
356;;garcia, nicole
357;8373;shaun severi
358;5873;geraldine nakache
359;8650;wagner de assis
360;;peele, jordan
361;;gatlif, tony
362;;cailley, thomas
363;;coffre, alexandre
364;8850;jean francois davy
365;8905;suzanne lindon
366;;lee, spike
367;;oz, frank
368;;boden, anna
369;;hardwicke, catherine
370;4419;jean-paul rouve
371;;leclercq, julien
372;;ostlund, ruben
373;6976;pierre dudan
374;8902;eric toledano
375;8902;olivier nakache
376;7441;roman polanski
377;3292;geraldine de margerie
378;;harris, ed
379;7621;christopher mac-quarrie
380;;jeunet, jean-pierre
381;;jaoui, agnaes
382;8753;anne depetrini
383;;petit, louis-julien
384;;leterrier, louis
385;;garcia, rodrigo
386;;girault, jean
387;2467;ratp/we are social
388;;garrone, matteo
389;;suco, sarah
390;;faucon, philippe
391;;jackson, peter
392;;vinterberg, thomas
393;8466;chad chenouga
394;;singh, tarsem
395;;des pallieres, arnaud
396;8562;bryan marciano
397;8057;nicolas saada
398;8009;richard jobson
399;2604;axelle ropert
400;8545;antoine chevrollier
401;8545;ziad doueiri
402;6934;eric gravel
403;8137;benoit forgeard
404;8788;julius berg
405;;ficarra, glenn
406;8087;patricia riggen
407;8087;daniel sackheim
408;5626;elise otzenberger
409;6915;aurelie saada
410;;morita, hiroyuki
411;8426;fabien dufils
412;7564;nicole palo
413;;knight, travis
414;;lvovsky, noaemie
415;;buck, chris
416;7522;quentin dupieux
417;6881;jeanne herry
418;;kawase, naomi
419;;carion, christian
420;4106;pierre briois
421;4106;theo galampoix
422;;sattouf, riad
423;;pautonnier, gerard
424;;sanders, rupert
425;;garel-weiss, marie
426;;teplitzky, jonathan
427;;davies, russell t.
428;;king, michael p.
429;;dubosc, franck
430;908;charlotte bourrelly-belhomme
431;8522;alexandre laurent
432;;levant, brian
433;;techine, andre
434;;achache, mona
435;;coppola, francis ford
436;3625;vincent jamain
437;;sugii, gisaburo
438;4433;edouard baer
439;;petersen, wolfgang
440;;yu, ronny
441;8032;laetitia masson
442;;bohringer, romane
443;6055;isabelle doval
444;7667;philippe proteau
445;;sorogoyen, rodrigo
446;6409;gabriel julien laferriere
447;;horovitz, israel
448;;taylor, tate
449;;herry, jeanne
450;;park, chan-wook
451;8276;fabien gorgeart
452;;deluc, edouard
453;7636;elsa bennett
454;7636;hippolyte dard
455;8829;hugo gelin
456;;hand, david
457;;carney, john
458;;folman, ari
459;8725;sebastien cirade
460;;honorae, christophe
461;7955;samir guesmi
462;3772;philippe godeau
463;;del toro, guillermo
464;;azzeddine, saphia
465;;donzelli, valerie.
466;;murro, noam
467;6595;didier bivel
468;;fontaine, anne.
469;;newell, mike
470;8845;samuel bodin
471;1471;julien lacombe
472;;ringer, olivier
473;8284;david morley
474;;verhoeven, paul
475;8387;jerome cornuau
476;6948;xavier gens
477;7573;m. choy ching shing clement
478;8859;valerie lemercier
479;;cazes, eric
480;;renaud, chris
481;8126;eli ben-david
482;6434;nicolas vanier
483;;tavernier, bertrand
484;;mann, michael
485;;jennings, garth
486;6477;eric meng
487;8576;julien carpentier
488;;de micco, kirk
489;6088;daniel auteuil
490;;osborne, mark
491;8384;robin campillo
492;8211;stanley woodward
493;7999;mikael buch
494;2560;gullaume gallienne
495;8183;jean luc ayach
496;3428;valeria bruni-tedeschi
497;8128;ruben alves
498;8822;etienne comar
499;7899;pascal verschooris
500;2245;cecilia de arce
501;7537;philippe faucon
502;;weitz, paul
503;;villaceque, anne
504;;gato, enrique
505;799;gabrielle floquet
506;;moller, jesper
507;5885;sergio castellitto
508;6014;anne gaelle daval
509;8903;hafidi abdelouahed
510;;bruni-tedeschi, valeria
511;;eyre, richard
512;982;jean francois richet
513;;ford, tom
514;917;jean-christophe delpias
515;;lynch, david
516;8312;kilian riedhof
517;;sciamma, celine
518;;coen, ethan.
519;;blier, bertrand
520;;cooper, scott
521;7516;mathieu sapin
522;;hastrup, jannik
523;;abrams, jeffrey jacob
524;7413;alan swyer
525;;roth, eli
526;5221;julie manoukian
527;7332;yuki saito
528;8748;cyril mennegun
529;8445;lidia terki
530;;di giusto, stephanie
531;7863;emmanuel mouret
